"Functional Block","Reference","Manufacturer","MPN","Function","Interface","Voltage","Package","Preferred Supplier","JLCPCB/LCSC Part Number","Assembly Type","Status","Notes"
"GNSS","GNSS_ANTENNA","TBD","TBD","GNSS antenna and feed","RF","TBD","TBD","TBD","TBD","Manual/final assembly target","REQUIRED - MPN TBD","Active/passive; connector; bias and position open."
"Motion","IMU","TDK InvenSense","ICM-42688-P","Accelerometer and gyroscope","I2C or SPI - allocation TBD","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","LOCKED","Exact datasheet/package audit required; do not substitute QMI8658."
"Motion","MAGNETOMETER","MEMSIC","MMC5983MA","Three-axis magnetic field","I2C or SPI - allocation TBD","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","LOCKED","Placement away from cell cans and current loops; calibrated heading derived in firmware."
"Environment","BAROMETER","Bosch Sensortec","BMP581","Pressure; altitude/variometer input","I2C or SPI - allocation TBD","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","LOCKED","Static pressure vent; verify mission pressure envelope."
"Environment","TEMP_HUMIDITY","Sensirion","SHT40","Ambient temperature and humidity","I2C","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","LOCKED","Orderable suffix TBD; thermal isolation/slots study; no BME688 baseline."
"ADS-B","ADSB_MCU","Raspberry Pi","RP2040","Dedicated 1090 MHz timing/decoding","PIO capture; UART or SPI host link TBD","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","LOCKED","Separate from ESP32 and SX1262; firmware independently authored subject to reuse review."
"ADS-B","ADSB_BOOT_FLASH","TBD","TBD","RP2040 external boot/program flash","QSPI","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","Capacity and ordering code pending firmware/recovery design."
"ADS-B","ADSB_CLOCK","TBD","TBD","RP2040 clock and support network","TBD","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","Follow Raspberry Pi hardware guide; exact oscillator/crystal and values TBD."
"ADS-B","ADSB_ANTENNA","TBD","TBD","Dedicated 1090 MHz antenna and connector","RF","TBD","TBD","TBD","TBD","Manual/final assembly target","REQUIRED - MPN TBD","Independent RF chain; final connector and placement open."
"ADS-B","ADSB_FILTER","TBD","TBD","1090 MHz preselection/SAW filtering","RF","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","Stage count/order and insertion-loss/blocker tradeoff require RF validation."
"ADS-B","ADSB_LNA","TBD","TBD","1090 MHz low-noise gain","RF","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","Noise/gain/linearity and stages TBD; no blindly copied circuit."
"ADS-B","ADSB_DETECTOR","TBD","TBD","RF envelope/log detection","RF to analog","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","Pulse response and dynamic range must be measured; architecture permits appropriate alternative frontend."
"ADS-B","ADSB_COMPARATOR","TBD","TBD","Data slicing / timing input conditioning","Analog to logic","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","Threshold; logic voltage; propagation delay and hysteresis TBD."
"Storage","MICROSD_SOCKET","TBD","TBD","Mandatory removable microSD storage socket","SPI or SDMMC - TBD","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","Card detect; write latency; power-fail behavior; exact socket footprint TBD."
"Storage","MICROSD_MEDIA","TBD","TBD","Logging storage card","microSD","TBD","TBD","TBD","TBD","Manual/final assembly target","REQUIRED - MPN TBD","Capacity/endurance and qualification TBD; installed after PCB assembly."
"Audio","MICROPHONE","TBD","TBD","Digital MEMS microphone for optional synchronized audio","I2S preferred; PDM alternative","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","Provision included; operation optional; later DNP only by recorded decision."
"Power","USB_C","TBD","TBD","USB-C charging and native data connector","USB; VBUS; CC","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","Exact connector; CC policy; source current and mechanical tabs TBD."
"Power","USB_INPUT_PROTECTION","TBD","TBD","Input/ESD/inrush/CC management","Power; USB","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","No assumption of universal USB current or PD; exact implementation open."
"Power","CELL_BAYS","TBD","TBD","Removable 21700 cells and holders","Protected power paths TBD","TBD","TBD","TBD","TBD","Manual/final assembly target","REQUIRED - MPN TBD","Compact one-cell / larger two-cell concept; no direct parallel connection; exact cells/topology not locked."
"Power","CELL_PROTECTION","TBD","TBD","Cell fault and reverse insertion protection","Power","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","Per-cell temperature/current/voltage safety architecture needs explicit review."
"Power","CHARGER_POWERPATH","TBD","TBD","Charging and operation while charging","Power; control TBD","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","OPEN","PMIC and one/two-bay power-path topology not selected."
"Power","FUEL_GAUGE","TBD","TBD","Battery state of charge and voltage","TBD","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","OPEN","Gauge and per-cell measurement strategy TBD; not merely a battery-voltage icon."
"Power","REGULATORS_SWITCHES","TBD","TBD","Regulated and switchable load supplies","Power; enables","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","OPEN","Rail voltages/count; current peaks; EMI; sequencing and backfeed review required."
"Expansion","EXPANSION_CONNECTOR","TBD","TBD","3V3/GND/I2C/SPI/CS/UART/GPIO-IRQ expansion","I2C; SPI; UART; GPIO","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","REQUIRED - MPN TBD","Logical interface only; pin numbering/current limit TBD; optional 5V not assumed."
"PCB","MAIN_PCB","TBD","TBD","Four-layer circuit board","TBD","TBD","TBD","TBD","TBD","PCB fabrication","REQUIRED - MPN TBD","Approximately 80 x 60 mm footprint target; exact outline/stackup/impedance open."
"Mechanical","ENCLOSURE","TBD","TBD","3D-printed enclosure variants","Mechanical","TBD","TBD","TBD","TBD","Manual/final assembly target","REQUIRED - MPN TBD","25-32 mm desired thickness; fit/tolerance study required."
"Support","PASSIVES_DEBUG","TBD","TBD","Decoupling; pullups; ESD; recovery/test pads","TBD","TBD","TBD","TBD","TBD","SMT/PCBA target - verify","OPEN","Not quantity-complete; populate only from verified schematic blocks."
