Ref,Val,Package,PosX,PosY,Rot,Side
"C34","1uF","C_0402_1005Metric",8.800000,-39.200000,90.000000,top
"C35","100nF","C_0402_1005Metric",48.700000,-4.200000,0.000000,top
"C36","100nF","C_0402_1005Metric",50.850000,-1.850000,90.000000,top
"C37","100nF","C_0402_1005Metric",46.050000,-5.500000,0.000000,top
"C40","1uF","C_0402_1005Metric",15.050000,-21.900000,90.000000,top
"C41","10uF","C_0603_1608Metric",9.950000,-21.400000,0.000000,top
"C42","100nF","C_0402_1005Metric",10.650000,-24.300000,0.000000,top
"C43","100nF","C_0402_1005Metric",17.500000,-31.150000,90.000000,top
"C44","10uF","C_0603_1608Metric",19.250000,-63.900000,90.000000,top
"C50","10uF","C_0603_1608Metric",31.450000,-60.950000,0.000000,top
"C51","100nF","C_0402_1005Metric",34.850000,-56.600000,90.000000,top
"C52","100nF","C_0402_1005Metric",33.500000,-54.650000,90.000000,top
"C53","100nF","C_0402_1005Metric",29.900000,-49.900000,90.000000,top
"C54","100nF","C_0402_1005Metric",32.500000,-51.200000,90.000000,top
"C55","4.7uF 10V","C_0603_1608Metric",44.400000,-59.300000,90.000000,top
"C56","1uF 50V X7R","C_0805_2012Metric",18.000000,-75.600000,0.000000,top
"C57","100nF","C_0402_1005Metric",13.050000,-44.400000,0.000000,top
"C60","1uF X7R","C_0402_1005Metric",37.050000,-20.650000,90.000000,top
"C61","100nF","C_0402_1005Metric",42.700000,-17.350000,90.000000,top
"C62","100nF","C_0402_1005Metric",33.550000,-57.100000,90.000000,top
"C63","100nF","C_0402_1005Metric",36.500000,-59.500000,90.000000,top
"C70","10uF","C_0603_1608Metric",47.850000,-63.550000,0.000000,top
"C71","470nF","C_0402_1005Metric",45.400000,-64.250000,90.000000,top
"C72","100nF","C_0402_1005Metric",47.700000,-62.000000,0.000000,top
"C73","470nF","C_0402_1005Metric",49.550000,-72.600000,0.000000,top
"C74","TBD (E449)","C_0402_1005Metric",49.400000,-61.250000,90.000000,top
"C75","TBD (E449)","C_0402_1005Metric",54.150000,-65.250000,0.000000,top
"C76","TBD (E449)","C_0402_1005Metric",29.250000,-46.700000,0.000000,top
"C77","TBD (E449)","C_0402_1005Metric",32.000000,-48.000000,90.000000,top
"C78","TBD (E449)","C_0402_1005Metric",52.350000,-75.050000,90.000000,top
"C79","TBD (E449)","C_0402_1005Metric",51.400000,-61.350000,0.000000,top
"C80","TBD (E449)","C_0402_1005Metric",53.600000,-61.650000,0.000000,top
"C81","1nF","C_0402_1005Metric",55.200000,-77.350000,0.000000,top
"C82","1nF","C_0402_1005Metric",56.500000,-72.850000,90.000000,top
"C83","TBD (E449)","C_0402_1005Metric",58.450000,-75.200000,90.000000,top
"C88","100nF","C_0402_1005Metric",52.050000,-37.550000,0.000000,top
"C90","100pF","C_0402_1005Metric",39.900000,-46.000000,90.000000,top
"C91","10uF","C_0603_1608Metric",38.400000,-42.750000,90.000000,top
"C95","47nF","C_0402_1005Metric",52.000000,-28.300000,0.000000,top
"C96","47nF","C_0402_1005Metric",51.750000,-27.050000,0.000000,top
"C97","100nF","C_0402_1005Metric",55.900000,-27.200000,0.000000,top
"C98","100pF","C_0402_1005Metric",50.050000,-28.450000,90.000000,top
"C99","1nF","C_0402_1005Metric",51.550000,-25.850000,0.000000,top
"C100","100nF","C_0402_1005Metric",42.100000,-35.850000,0.000000,top
"C101","100nF","C_0402_1005Metric",44.300000,-34.900000,0.000000,top
"C102","100nF","C_0402_1005Metric",39.850000,-35.600000,0.000000,top
"C103","100nF","C_0402_1005Metric",42.450000,-34.100000,90.000000,top
"C104","100nF","C_0402_1005Metric",46.400000,-34.350000,90.000000,top
"C105","100nF","C_0402_1005Metric",38.150000,-37.200000,90.000000,top
"C106","100nF","C_0402_1005Metric",44.200000,-33.400000,0.000000,top
"C107","100nF","C_0402_1005Metric",43.300000,-47.350000,0.000000,top
"C108","1uF","C_0402_1005Metric",36.850000,-41.900000,90.000000,top
"C109","1uF","C_0402_1005Metric",49.350000,-49.750000,0.000000,top
"C110","100nF","C_0402_1005Metric",46.850000,-49.750000,0.000000,top
"C111","100nF","C_0402_1005Metric",48.350000,-50.950000,0.000000,top
"C112","100nF","C_0402_1005Metric",51.500000,-50.450000,0.000000,top
"C113","100nF","C_0402_1005Metric",41.600000,-47.500000,90.000000,top
"C114","15pF C0G","C_0402_1005Metric",44.500000,-49.750000,0.000000,top
"C115","15pF C0G","C_0402_1005Metric",37.550000,-35.550000,0.000000,top
"C116","100nF","C_0402_1005Metric",47.550000,-31.650000,0.000000,top
"C120","100pF","C_0402_1005Metric",23.250000,-42.450000,90.000000,top
"C121","10uF","C_0603_1608Metric",19.950000,-51.800000,0.000000,top
"C122","100nF","C_0402_1005Metric",20.550000,-41.750000,0.000000,top
"C123","100pF","C_0402_1005Metric",11.300000,-41.100000,90.000000,top
"C124","1uF","C_0402_1005Metric",13.250000,-42.750000,90.000000,top
"C125","100nF","C_0402_1005Metric",10.000000,-39.350000,90.000000,top
"C126","100nF","C_0402_1005Metric",6.850000,-37.000000,90.000000,top
"C127","100nF X7R","C_0402_1005Metric",8.050000,-36.950000,90.000000,top
"C800","100pF","C_0402_1005Metric",57.800000,-6.300000,0.000000,top
"C801","12pF","C_0402_1005Metric",51.550000,-5.750000,90.000000,top
"C802","100pF","C_0402_1005Metric",58.450000,-8.200000,90.000000,top
"C803","12pF","C_0402_1005Metric",58.500000,-10.500000,90.000000,top
"C840","100pF","C_0402_1005Metric",53.850000,-14.400000,90.000000,top
"C841","12pF","C_0402_1005Metric",52.700000,-8.100000,90.000000,top
"C842","100pF","C_0402_1005Metric",50.250000,-6.450000,90.000000,top
"C843","12pF","C_0402_1005Metric",55.900000,-17.150000,0.000000,top
"D1","60V Schottky TBD","D_SOD-123F",38.800000,-60.450000,90.000000,top
"D2","TPD1E0B04DPYR","TI_TPD1E0B04DPYR_X1SON-2_DPY0002A",29.000000,-6.300000,90.000000,top
"D3","TPD1E0B04DPYR (option)","TI_TPD1E0B04DPYR_X1SON-2_DPY0002A",50.800000,-3.900000,90.000000,top
"F1","TBD (O05)","Fuse_1206_3216Metric",51.850000,-80.000000,90.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",43.163483,-8.375856,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",40.000000,-33.000000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",47.500000,-58.500000,0.000000,top
"FL1","TA2003A 1090MHz SAW","TAI-SAW_TA2003A_SMD-6_3.0x3.0mm",56.400000,-14.400000,90.000000,top
"FL2","TA2003A 1090MHz SAW","TAI-SAW_TA2003A_SMD-6_3.0x3.0mm",56.400000,-24.600000,90.000000,top
"J1","USB4105-GF-A","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",8.000000,-80.600000,0.000000,top
"J3","XF3M-4015-1B (TFT 40p FPC)","Omron_XF3M-4015-1B_1x40-1MP_P0.5mm_Horizontal",31.000000,-67.400000,0.000000,top
"J4","XF3M-0615-1B (CTP 6p FPC)","Omron_XF3M-0615-1B_1x06-1MP_P0.5mm_Horizontal",13.200000,-67.400000,0.000000,top
"J5","U.FL-R-SMT-1(60) GNSS","Hirose_U.FL-R-SMT-1_60_Vertical",29.000000,-2.900000,0.000000,top
"J6","U.FL-R-SMT-1(60) LoRa","Hirose_U.FL-R-SMT-1_60_Vertical",57.200000,-80.800000,0.000000,top
"J7","U.FL-R-SMT-1(60) ADS-B","Hirose_U.FL-R-SMT-1_60_Vertical",57.200000,-2.900000,0.000000,top
"J8","DM3AT-SF-PEJM5","Hirose_DM3AT-SF-PEJM5_microSD_HC",9.350000,-57.800000,-90.000000,top
"L1","1uH (DFE252012F-1R0 class)","L_1008_2520Metric",36.700000,-76.100000,0.000000,top
"L2","2.2uH XFL4020-222MEB","L_Coilcraft_XxL4020",26.800000,-51.800000,0.000000,top
"L3","10uH LPS4018-103MRC","L_Coilcraft_LPS4018",41.800000,-55.200000,0.000000,top
"L70","15uH (DC-DC)","L_0805_2012Metric",49.750000,-71.050000,0.000000,top
"L71","TBD (E449)","L_0402_1005Metric",50.250000,-63.350000,90.000000,top
"L72","TBD (E449)","L_0402_1005Metric",51.650000,-63.000000,90.000000,top
"L73","TBD (E449)","L_0402_1005Metric",30.000000,-48.000000,0.000000,top
"L74","TBD (E449)","L_0402_1005Metric",53.050000,-63.350000,90.000000,top
"L800","27nH","L_0603_1608Metric",53.650000,-10.800000,90.000000,top
"L801","82nH","L_0603_1608Metric",54.900000,-7.100000,0.000000,top
"L840","27nH","L_0603_1608Metric",53.650000,-20.800000,90.000000,top
"L841","82nH","L_0603_1608Metric",53.250000,-17.900000,0.000000,top
"MK1","MMICT5838-00-012","TDK_T5838_LGA-7_3.5x2.65mm_BottomPort",3.400000,-47.200000,90.000000,top
"Q1","Dual N-MOSFET TBD (O05)","SOT-23-6",21.900000,-79.500000,0.000000,top
"Q2","2N7002","SOT-23",31.600000,-63.950000,90.000000,top
"R1","0R","R_0402_1005Metric",1.650000,-80.350000,90.000000,top
"R2","232k 1%","R_0402_1005Metric",15.150000,-75.450000,90.000000,top
"R3","100k 1%","R_0402_1005Metric",23.100000,-82.800000,0.000000,top
"R4","442k 1%","R_0402_1005Metric",25.200000,-82.850000,0.000000,top
"R5","100k 1%","R_0402_1005Metric",11.700000,-74.950000,0.000000,top
"R6","1.69k 1%","R_0402_1005Metric",31.100000,-59.350000,0.000000,top
"R7","100k","R_0402_1005Metric",9.200000,-75.100000,0.000000,top
"R8","232k 1%","R_0402_1005Metric",3.100000,-68.150000,0.000000,top
"R9","100k 1%","R_0402_1005Metric",33.700000,-60.800000,90.000000,top
"R10","900k 1%","R_0402_1005Metric",10.500000,-49.150000,0.000000,top
"R11","100k","R_0402_1005Metric",10.200000,-47.800000,0.000000,top
"R12","100k","R_0402_1005Metric",10.200000,-46.400000,0.000000,top
"R13","100k","R_0402_1005Metric",12.650000,-46.900000,0.000000,top
"R14","300R","R_0603_1608Metric",15.050000,-81.800000,90.000000,top
"R15","TBD (RCBSET)","R_2512_6332Metric",41.600000,-78.600000,90.000000,top
"R16","5.23k 1%","R_0402_1005Metric",27.800000,-82.800000,0.000000,top
"R17","30.1k 1%","R_0402_1005Metric",45.000000,-82.550000,0.000000,top
"R18","2.21k 1%","R_0402_1005Metric",44.850000,-70.050000,90.000000,top
"R19","10k","R_0402_1005Metric",46.950000,-72.550000,90.000000,top
"R20","100k","R_0402_1005Metric",35.950000,-82.750000,0.000000,top
"R21","100k","R_0402_1005Metric",20.650000,-28.850000,0.000000,top
"R22","10k","R_0402_1005Metric",38.100000,-82.850000,0.000000,top
"R23","10k","R_0402_1005Metric",47.400000,-82.800000,0.000000,top
"R24","10k","R_0402_1005Metric",36.300000,-62.650000,0.000000,top
"R26","0R","R_0402_1005Metric",35.500000,-61.200000,0.000000,top
"R27","100k","R_0402_1005Metric",21.500000,-43.350000,0.000000,top
"R28","312k 1%","R_0402_1005Metric",22.700000,-51.450000,0.000000,top
"R29","100k 1%","R_0402_1005Metric",15.800000,-46.500000,0.000000,top
"R30","100k","R_0402_1005Metric",23.350000,-52.850000,0.000000,top
"R31","0R","R_0603_1608Metric",39.300000,-20.150000,0.000000,top
"R32","0R","R_0603_1608Metric",3.350000,-66.700000,0.000000,top
"R40","10k","R_0402_1005Metric",10.600000,-23.050000,0.000000,top
"R41","10k","R_0402_1005Metric",55.650000,-56.050000,90.000000,top
"R42","10k","R_0402_1005Metric",58.200000,-63.100000,0.000000,top
"R43","2.2k 1%","R_0402_1005Metric",7.700000,-21.750000,90.000000,top
"R44","2.2k 1%","R_0402_1005Metric",8.050000,-23.450000,0.000000,top
"R45","10k","R_0402_1005Metric",19.550000,-38.250000,0.000000,top
"R46","100k","R_0402_1005Metric",24.750000,-38.250000,0.000000,top
"R47","100k","R_0402_1005Metric",27.400000,-36.350000,90.000000,top
"R48","100k","R_0402_1005Metric",22.800000,-28.750000,0.000000,top
"R49","0R","R_0603_1608Metric",34.300000,-63.500000,90.000000,top
"R50","10k","R_0402_1005Metric",27.950000,-54.950000,0.000000,top
"R51","100k","R_0402_1005Metric",29.700000,-55.250000,90.000000,top
"R52","10k","R_0402_1005Metric",30.950000,-55.300000,90.000000,top
"R53","0R","R_0402_1005Metric",42.750000,-64.950000,90.000000,top
"R54","0R","R_0402_1005Metric",44.100000,-64.450000,90.000000,top
"R55","0R","R_0402_1005Metric",32.150000,-56.850000,90.000000,top
"R56","2.21R 1% 0.1W","R_0603_1608Metric",42.300000,-61.750000,0.000000,top
"R57","100k","R_0402_1005Metric",44.950000,-61.550000,0.000000,top
"R58","10k","R_0402_1005Metric",33.300000,-59.100000,0.000000,top
"R60","470R","R_0402_1005Metric",27.950000,-56.600000,0.000000,top
"R61","470R","R_0402_1005Metric",30.650000,-57.550000,90.000000,top
"R62","2k","R_0402_1005Metric",1.150000,-67.050000,90.000000,top
"R70","100k","R_0402_1005Metric",53.850000,-67.450000,90.000000,top
"R71","100R","R_0402_1005Metric",56.950000,-75.850000,90.000000,top
"R72","100R","R_0402_1005Metric",54.700000,-73.250000,0.000000,top
"R86","TBD (OWN-09)","R_0402_1005Metric",52.200000,-36.050000,0.000000,top
"R87","TBD (OWN-09)","R_0402_1005Metric",53.950000,-34.550000,90.000000,top
"R88","10k","R_0402_1005Metric",53.900000,-36.800000,90.000000,top
"R90","100k","R_0402_1005Metric",41.750000,-45.750000,0.000000,top
"R91","10k","R_0402_1005Metric",52.450000,-44.450000,90.000000,top
"R92","1k","R_0402_1005Metric",46.900000,-36.800000,90.000000,top
"R93","1k","R_0402_1005Metric",45.150000,-48.000000,90.000000,top
"R95","52.3R 1%","R_0402_1005Metric",53.700000,-25.800000,90.000000,top
"R96","0R","R_0402_1005Metric",52.500000,-29.950000,90.000000,top
"R97","TBD (TADJ @1090 MHz)","R_0402_1005Metric",58.400000,-30.950000,90.000000,top
"R98","2.2k 1%","R_0402_1005Metric",47.800000,-33.400000,90.000000,top
"R100","100k","R_0402_1005Metric",29.900000,-52.150000,90.000000,top
"R101","10k","R_0402_1005Metric",12.900000,-45.600000,0.000000,top
"R102","10k","R_0402_1005Metric",15.200000,-44.900000,0.000000,top
"R103","10k","R_0402_1005Metric",11.100000,-44.600000,90.000000,top
"R104","100k","R_0402_1005Metric",15.300000,-43.600000,0.000000,top
"R105","100k","R_0402_1005Metric",11.550000,-42.950000,0.000000,top
"R106","100k","R_0402_1005Metric",9.300000,-41.200000,0.000000,top
"R800","6.8k","R_0402_1005Metric",53.800000,-3.650000,90.000000,top
"R801","0R","R_0402_1005Metric",52.950000,-1.650000,0.000000,top
"R840","6.8k","R_0402_1005Metric",53.250000,-5.400000,0.000000,top
"R841","0R","R_0402_1005Metric",52.250000,-3.650000,90.000000,top
"SW1","SKSCLCE010 (BUTTON_1 / BOOT)","SW_Alps_SKSCLCE010_SidePush",58.400000,-53.500000,90.000000,top
"SW2","SKSCLCE010 (BUTTON_2)","SW_Alps_SKSCLCE010_SidePush",58.400000,-59.500000,90.000000,top
"TH1","10k NTC (103AT class, TBD)","R_0603_1608Metric",27.400000,-77.050000,0.000000,top
"U1","ESP32-S3-WROOM-1-N16R8","ESP32-S3-WROOM-1",13.050000,-10.300000,90.000000,top
"U2","TPD4E05U06DQAR","USON-10_2.5x1.0mm_P0.5mm",7.350000,-71.450000,0.000000,top
"U3","TPS259474LRPWR","TI_RPW0010A_VQFN-HR-10_2x2mm_P0.45mm",21.550000,-75.900000,0.000000,top
"U4","TUSB320LAIRWBR","TI_RWB0012B_X2QFN-12_1.6x1.6mm_TUSB320LAI",6.600000,-67.400000,0.000000,top
"U5","S-8252 (product code TBD, O05)","SOT-23-6",17.900000,-79.000000,90.000000,top
"U6","BQ25887RGER","Texas_RGE0024H_VQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",31.800000,-79.600000,0.000000,top
"U7","TPS62130ARGTR","TI_RGT0016A_VQFN-16_3x3mm_EP1.75x1.75_TPS62130A",22.000000,-48.600000,0.000000,top
"U8","TPS7A2030PDBVR","TI_DBV0005A_SOT-23-5_TPS7A20",56.900000,-34.450000,0.000000,top
"U9","TPS7A2018PDBVR","TI_DBV0005A_SOT-23-5_TPS7A20",22.050000,-63.800000,90.000000,top
"U10","TPS22918DBVR","TI_DBV0006A_SOT-23-6_TPS22918",20.300000,-54.900000,90.000000,top
"U11","TPS22918DBVR","TI_DBV0006A_SOT-23-6_TPS22918",41.150000,-42.650000,90.000000,top
"U12","TPS22918DBVR","TI_DBV0006A_SOT-23-6_TPS22918",7.150000,-47.300000,90.000000,top
"U13","TCA9535PWR","TI_PW0024A_TSSOP-24_4.4x7.8mm_TCA9535",22.500000,-33.500000,90.000000,top
"U14","SN74AXC4T245PWR","TSSOP-16_4.4x5mm_P0.65mm",26.800000,-61.200000,90.000000,top
"U15","SN74LVC1G07DBVR","SOT-23-5",20.750000,-59.650000,0.000000,top
"U16","TPS61169DCKR","TI_DCK0005A_SC-70-5_TPS61169",41.800000,-59.000000,0.000000,top
"U17","MAX-M10S-00B","u-blox_MAX-M10S-00B_LCC-18_10.1x9.7mm",36.000000,-12.600000,0.000000,top
"U20","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",47.500000,-42.500000,0.000000,top
"U21","W25Q128JVSIQ","Winbond_W25Q128JVSIQ_SOIC-8_5.3x5.3mm_P1.27mm",56.200000,-44.800000,90.000000,top
"U23","TPD4E05U06DQAR","USON-10_2.5x1.0mm_P0.5mm",23.250000,-55.250000,0.000000,top
"U24","TXU0202DCUR","VSSOP-8_2.3x2mm_P0.5mm",8.050000,-43.450000,0.000000,top
"U30","ICM-42688-P","TDK_ICM-42688-P_LGA-14_3x2.5mm_P0.5mm",30.000000,-42.000000,0.000000,top
"U31","MMC5983MA","MEMSIC_MMC5983MA_LGA-16_3x3mm_P0.5mm_CORRECTED",3.600000,-42.900000,0.000000,top
"U32","BMP581","Bosch_BMP581_LGA-10_2x2mm_CORRECTED",48.600000,-2.100000,0.000000,top
"U33","SHT40-AD1B-R2","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",44.000000,-1.900000,0.000000,top
"U40","SX1262IMLTRT","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",50.400000,-67.200000,0.000000,top
"U41","PE4259","SOT-363_SC-70-6",54.600000,-75.200000,0.000000,top
"U50","BLB01","BeRex_BLB01_DFN-8-1EP_2x2mm_P0.5mm",56.400000,-9.600000,90.000000,top
"U52","BLB01","BeRex_BLB01_DFN-8-1EP_2x2mm_P0.5mm",56.400000,-19.600000,90.000000,top
"U54","ADL5513ACPZ-R7","LFCSP-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",55.400000,-30.200000,0.000000,top
"U55","MCP6566T-E/OT","SOT-23-5",50.800000,-33.600000,0.000000,top
"Y1","12MHz ABM8-272-T3","Abracon_ABM8-272-T3_Crystal_SMD_3225-4Pin_3.2x2.5mm",41.000000,-38.400000,0.000000,top
"Y2","32 MHz (CL 10pF) MPN TBD","Crystal_SMD_2016-4Pin_2.0x1.6mm",45.400000,-67.200000,90.000000,top
